TO,FROM,REASON,SERVER,DATE,CHANNEL,,,,,,,
ygg_anderson#4998,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"ygg_anderson#4998iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
Tam2140#9361,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"Tam2140#9361iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
Suga#8514,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"Suga#8514iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
sem  🐝#0161,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"sem  🐝#0161iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
santigs#9769,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"santigs#9769iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
penguin#5853,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"penguin#5853iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
pavl#1561,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"pavl#1561iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
paulo_#7945,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"paulo_#7945iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
natesuits#4789,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"natesuits#4789iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
metaverde#2503,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"metaverde#2503iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
METADREAMER 🐙#1111,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"METADREAMER 🐙#1111iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
liviade#1387,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"liviade#1387iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
lEscanore#7764,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"lEscanore#7764iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
Kris#8703,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"Kris#8703iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
keepitsane#8407,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"keepitsane#8407iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
Juankbell#7458,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"Juankbell#7458iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
heater#9765,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"heater#9765iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
griff#3281,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"griff#3281iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
eduardovegap#0422,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"eduardovegap#0422iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
divine_comedian#5493,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"divine_comedian#5493iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
ddan#2489,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"ddan#2489iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
chuygarcia92#6692,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"chuygarcia92#6692iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
Bagholder McFomo III 🐙#9024,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"Bagholder McFomo III 🐙#9024iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
🐙Musashi13#5579,iviangita#3204,"@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI ",Token Engineering Commons,Jun-04-2021,🙏praise,,"🐙Musashi13#5579iviangita#3204@sem  🐝 @Bagholder McFomo III 🐙 @METADREAMER 🐙 for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI Token Engineering CommonsJun-04-2021🙏praise",,,,,
Renzo D5#3503,iviangita#3204,@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon ,Token Engineering Commons,Jun-04-2021,🙏praise,,Renzo D5#3503iviangita#3204@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon Token Engineering CommonsJun-04-2021🙏praise,,,,,
liviade#1387,iviangita#3204,@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon ,Token Engineering Commons,Jun-04-2021,🙏praise,,liviade#1387iviangita#3204@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon Token Engineering CommonsJun-04-2021🙏praise,,,,,
JessicaZartler#2263,iviangita#3204,@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon ,Token Engineering Commons,Jun-04-2021,🙏praise,,JessicaZartler#2263iviangita#3204@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon Token Engineering CommonsJun-04-2021🙏praise,,,,,
JeffEmmett#7202,iviangita#3204,@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon ,Token Engineering Commons,Jun-04-2021,🙏praise,,JeffEmmett#7202iviangita#3204@Renzo D5 for the great session on the polycentric governance at the Metagov hackathon Token Engineering CommonsJun-04-2021🙏praise,,,,,
Vyvy-vi#5040,iviangita#3204,@Mount Manu for the async support ,Token Engineering Commons,Jun-04-2021,🙏praise,,Vyvy-vi#5040iviangita#3204@Mount Manu for the async support Token Engineering CommonsJun-04-2021🙏praise,,,,,
natesuits#4789,iviangita#3204,@Mount Manu for the async support ,Token Engineering Commons,Jun-04-2021,🙏praise,,natesuits#4789iviangita#3204@Mount Manu for the async support Token Engineering CommonsJun-04-2021🙏praise,,,,,
Mount Manu#3530,iviangita#3204,@Mount Manu for the async support ,Token Engineering Commons,Jun-04-2021,🙏praise,,Mount Manu#3530iviangita#3204@Mount Manu for the async support Token Engineering CommonsJun-04-2021🙏praise,,,,,
iviangita#3204,iviangita#3204,@Mount Manu for the async support ,Token Engineering Commons,Jun-04-2021,🙏praise,,iviangita#3204iviangita#3204@Mount Manu for the async support Token Engineering CommonsJun-04-2021🙏praise,,,,,
natesuits#4789,iviangita#3204,@Mount Manu for collaborating with the Comms ,Token Engineering Commons,Jun-04-2021,🙏praise,,natesuits#4789iviangita#3204@Mount Manu for collaborating with the Comms Token Engineering CommonsJun-04-2021🙏praise,,,,,
Mount Manu#3530,iviangita#3204,@Mount Manu for collaborating with the Comms ,Token Engineering Commons,Jun-04-2021,🙏praise,,Mount Manu#3530iviangita#3204@Mount Manu for collaborating with the Comms Token Engineering CommonsJun-04-2021🙏praise,,,,,
KZ Flyer#0926,griff#3281,@KZ Flyer for the ROCKING memes pre-meme party!! ,Token Engineering Commons,Jun-04-2021,🍄memes,,KZ Flyer#0926griff#3281@KZ Flyer for the ROCKING memes pre-meme party!! Token Engineering CommonsJun-04-2021🍄memes,,,,,
paul2#3057,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️ ,Token Engineering Commons,Jun-04-2021,🙏praise,,paul2#3057iviangita#3204@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️ Token Engineering CommonsJun-04-2021🙏praise,,,,,
Lin#3884,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️ ,Token Engineering Commons,Jun-04-2021,🙏praise,,Lin#3884iviangita#3204@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️ Token Engineering CommonsJun-04-2021🙏praise,,,,,
KZ Flyer#0926,iviangita#3204,@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️ ,Token Engineering Commons,Jun-04-2021,🙏praise,,KZ Flyer#0926iviangita#3204@KZ Flyer for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️ Token Engineering CommonsJun-04-2021🙏praise,,,,,
Juankbell#7458,iviangita#3204,@juiloholon for their awesome contributions in the discussion in the Polycentric Gov session ,Token Engineering Commons,Jun-04-2021,🙏praise,,Juankbell#7458iviangita#3204@juiloholon for their awesome contributions in the discussion in the Polycentric Gov session Token Engineering CommonsJun-04-2021🙏praise,,,,,
James | NEAR#0357,iviangita#3204,@James | NEAR for organizing the Polycentric Gov session and bringing so much relevance in governance thoughts in general ,Token Engineering Commons,Jun-04-2021,🙏praise,,James | NEAR#0357iviangita#3204@James | NEAR for organizing the Polycentric Gov session and bringing so much relevance in governance thoughts in general Token Engineering CommonsJun-04-2021🙏praise,,,,,
eugene#1706,iviangita#3204,@James | NEAR for organizing the Polycentric Gov session and bringing so much relevance in governance thoughts in general ,Token Engineering Commons,Jun-04-2021,🙏praise,,eugene#1706iviangita#3204@James | NEAR for organizing the Polycentric Gov session and bringing so much relevance in governance thoughts in general Token Engineering CommonsJun-04-2021🙏praise,,,,,
T Wells#9070,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,T Wells#9070iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
mikaelseppala#6132,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,mikaelseppala#6132iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
Lin#3884,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,Lin#3884iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
KZ Flyer#0926,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,KZ Flyer#0926iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
innov8tor3#3988,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,innov8tor3#3988iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
Guy James#3266,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,Guy James#3266iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
Ekeneodigwe#1502,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,Ekeneodigwe#1502iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
Atotsm#5719,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,Atotsm#5719iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
Anna-Marie.Swan#8824,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,Anna-Marie.Swan#8824iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
airnova#1324,iviangita#3204,@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,Commons Stack,Jun-04-2021,🙌praise,,airnova#1324iviangita#3204@Guy James @KZ Flyer @T Wells for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 Commons StackJun-04-2021🙌praise,,,,,
penguin#5853,🐙Musashi13#5579,"@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. ",Token Engineering Commons,Jun-04-2021,🙏praise,,"penguin#5853🐙Musashi13#5579@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. Token Engineering CommonsJun-04-2021🙏praise",,,,,
metaverde#2503,🐙Musashi13#5579,"@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. ",Token Engineering Commons,Jun-04-2021,🙏praise,,"metaverde#2503🐙Musashi13#5579@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. Token Engineering CommonsJun-04-2021🙏praise",,,,,
Bagholder McFomo III 🐙#9024,🐙Musashi13#5579,"@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. ",Token Engineering Commons,Jun-04-2021,🙏praise,,"Bagholder McFomo III 🐙#9024🐙Musashi13#5579@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. Token Engineering CommonsJun-04-2021🙏praise",,,,,
🐙 Misanth 🐙#7407,🐙Musashi13#5579,"@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. ",Token Engineering Commons,Jun-04-2021,🙏praise,,"🐙 Misanth 🐙#7407🐙Musashi13#5579@Bagholder McFomo III 🐙 , @🐙 Misanth 🐙 , ,  for always being in video chats working openly. helping a lot when questions asked. Token Engineering CommonsJun-04-2021🙏praise",,,,,
🐙 octopus#5508,iviangita#3204,@🐙 octopus for always putting such good work when it needs to be done and being consistent with praise analysis ,Token Engineering Commons,Jun-04-2021,🙏praise,,🐙 octopus#5508iviangita#3204@🐙 octopus for always putting such good work when it needs to be done and being consistent with praise analysis Token Engineering CommonsJun-04-2021🙏praise,,,,,
Zeptimus#3359,Zeptimus#3359, for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit ,Token Engineering Commons,Jun-04-2021,🙏praise,,Zeptimus#3359Zeptimus#3359 for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit Token Engineering CommonsJun-04-2021🙏praise,,,,,
iviangita#3204,Zeptimus#3359, for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit ,Token Engineering Commons,Jun-04-2021,🙏praise,,iviangita#3204Zeptimus#3359 for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit Token Engineering CommonsJun-04-2021🙏praise,,,,,
ddan#2489,Zeptimus#3359, for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit ,Token Engineering Commons,Jun-04-2021,🙏praise,,ddan#2489Zeptimus#3359 for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit Token Engineering CommonsJun-04-2021🙏praise,,,,,
chuygarcia92#6692,Zeptimus#3359, for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit ,Token Engineering Commons,Jun-04-2021,🙏praise,,chuygarcia92#6692Zeptimus#3359 for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit Token Engineering CommonsJun-04-2021🙏praise,,,,,
JoeZ#9988,Tam2140#9361,for being such a g-damn badass and spending hours and hours on the TEC visual explainers that are absolutely beautiful and clear and concise! ,Token Engineering Commons,Jun-07-2021,🙏praise,,JoeZ#9988Tam2140#9361for being such a g-damn badass and spending hours and hours on the TEC visual explainers that are absolutely beautiful and clear and concise! Token Engineering CommonsJun-07-2021🙏praise,,,,,
Tam2140#9361,Tam2140#9361,@Dan Knobelsdorf.eth for the fast and furious brainstorm session on Trusted Seed. ⚡ ,Commons Stack,Jun-18-2021,🙌praise,,Tam2140#9361Tam2140#9361@Dan Knobelsdorf.eth for the fast and furious brainstorm session on Trusted Seed. ⚡ Commons StackJun-18-2021🙌praise,,,,,
Zeptimus#3359,griff#3281,for assembling to support the praisemergency in any way that they could ,Token Engineering Commons,Jun-19-2021,🙏praise,,Zeptimus#3359griff#3281for assembling to support the praisemergency in any way that they could Token Engineering CommonsJun-19-2021🙏praise,,,,,
Vyvy-vi#5040,Juankbell#7458,for his wizardry fixing the praise bot! ,Token Engineering Commons,Jun-19-2021,🙏praise,,Vyvy-vi#5040Juankbell#7458for his wizardry fixing the praise bot! Token Engineering CommonsJun-19-2021🙏praise,,,,,
Vyvy-vi#5040,griff#3281,to test if google sheet will add rows ,Commons Stack,Jun-19-2021,praise-testing,,Vyvy-vi#5040griff#3281to test if google sheet will add rows Commons StackJun-19-2021praise-testing,,,,,
Vyvy-vi#5040,griff#3281,for emergency dev support on the praisemergency!! The praisebot went down and they really stepped up with no notice to sort it out ,Token Engineering Commons,Jun-19-2021,🙏praise,,Vyvy-vi#5040griff#3281for emergency dev support on the praisemergency!! The praisebot went down and they really stepped up with no notice to sort it out Token Engineering CommonsJun-19-2021🙏praise,,,,,
Vyvy-vi#5040,griff#3281,for assembling to support the praisemergency in any way that they could ,Token Engineering Commons,Jun-19-2021,🙏praise,,Vyvy-vi#5040griff#3281for assembling to support the praisemergency in any way that they could Token Engineering CommonsJun-19-2021🙏praise,,,,,
rdfbbx#6437,rdfbbx#6437,test ,Commons Stack,Jun-19-2021,🧪praise-testing,,rdfbbx#6437rdfbbx#6437test Commons StackJun-19-2021🧪praise-testing,,,,,
rdfbbx#6437,griff#3281,to test if google sheet will add rows ,Commons Stack,Jun-19-2021,praise-testing,,rdfbbx#6437griff#3281to test if google sheet will add rows Commons StackJun-19-2021praise-testing,,,,,
rdfbbx#6437,griff#3281,for testing ,Commons Stack,Jun-19-2021,praise-testing,,rdfbbx#6437griff#3281for testing Commons StackJun-19-2021praise-testing,,,,,
rdfbbx#6437,griff#3281,for emergency dev support on the praisemergency!! The praisebot went down and they really stepped up with no notice to sort it out ,Token Engineering Commons,Jun-19-2021,🙏praise,,rdfbbx#6437griff#3281for emergency dev support on the praisemergency!! The praisebot went down and they really stepped up with no notice to sort it out Token Engineering CommonsJun-19-2021🙏praise,,,,,
rdfbbx#6437,griff#3281,for assembling to support the praisemergency in any way that they could ,Token Engineering Commons,Jun-19-2021,🙏praise,,rdfbbx#6437griff#3281for assembling to support the praisemergency in any way that they could Token Engineering CommonsJun-19-2021🙏praise,,,,,
Kris#8703,griff#3281,for assembling to support the praisemergency in any way that they could ,Token Engineering Commons,Jun-19-2021,🙏praise,,Kris#8703griff#3281for assembling to support the praisemergency in any way that they could Token Engineering CommonsJun-19-2021🙏praise,,,,,
