TO,FROM,REASON,SERVER,DATE,CHANNEL,,,,,,,
@rdfbbx#6437,rdfbbx,I hope it was last fix -_- ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@Kris#8703,rdfbbx,I hope it was last fix -_- ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,I hope it was last fix -_- ,Token Engineering Commons,Feb-08-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,for new bot logo ,Token Engineering Commons,Feb-09-2021,🙌🏿praise,,,,,,,
@Kris#8703,rdfbbx,for new bot logo ,Token Engineering Commons,Feb-09-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,for new bot logo ,Token Engineering Commons,Feb-09-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,"for dishing praise to Kris.😋 Btw, I changed bot name ",Commons Stack,Feb-09-2021,praise,,,,,,,
@Tam2140#9361,rdfbbx,"for dishing praise to Kris.😋 Btw, I changed bot name ",Commons Stack,Feb-09-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,testname ,Commons Stack,Feb-09-2021,praise,,,,,,,
@Tam2140#9361,Kris,for being so dope (from natesuits) ,Commons Stack,Feb-15-2021,praise,,,,,,,
@AmwFund#0979,Kris,for asking to get the praise role! ,Commons Stack,Feb-16-2021,praise,,,,,,,
@Kris#8703,Tam2140,"@Kris, @AmwFund, @natesuits, @rdfbbx, @griff, for jumping into the praise on the new discord server ",Commons Stack,Feb-16-2021,praise,,,,,,,
@AmwFund#0979,Tam2140,"@Kris, @AmwFund, @natesuits, @rdfbbx, @griff, for jumping into the praise on the new discord server ",Commons Stack,Feb-16-2021,praise,,,,,,,
@natesuits#4789,Tam2140,"@Kris, @AmwFund, @natesuits, @rdfbbx, @griff, for jumping into the praise on the new discord server ",Commons Stack,Feb-16-2021,praise,,,,,,,
@rdfbbx#6437,Tam2140,"@Kris, @AmwFund, @natesuits, @rdfbbx, @griff, for jumping into the praise on the new discord server ",Commons Stack,Feb-16-2021,praise,,,,,,,
@griff#3281,Tam2140,"@Kris, @AmwFund, @natesuits, @rdfbbx, @griff, for jumping into the praise on the new discord server ",Commons Stack,Feb-16-2021,praise,,,,,,,
@Tam2140#9361,Tam2140,"@Kris, @AmwFund, @natesuits, @rdfbbx, @griff, for jumping into the praise on the new discord server ",Commons Stack,Feb-16-2021,praise,,,,,,,
@Kris#8703,AmwFund,for setting me straight ,Commons Stack,Feb-17-2021,praise,,,,,,,
@Tam2140#9361,AmwFund,for setting me up for another test praise ,Commons Stack,Feb-17-2021,praise,,,,,,,
@Vyvy-vi#5040,rdfbbx,for deploying the Praise bot ,TEC template,Feb-17-2021,🌿commons,,,,,,,
@metaverde#2503,rdfbbx,for deploying the Praise bot ,TEC template,Feb-17-2021,🌿commons,,,,,,,
@Kris#8703,rdfbbx,for Praise bot on new TEC server ,TEC template,Feb-17-2021,🌿commons,,,,,,,
@griff#3281,rdfbbx,for Praise bot on new TEC server ,TEC template,Feb-17-2021,🌿commons,,,,,,,
@griff#3281,JeffEmmett,for praising so much! ,Commons Stack,Feb-18-2021,praise,,,,,,,
@Kris#8703,JessicaZartler,for all his work on the Discord!!!!! ,Commons Stack,Feb-18-2021,praise,,,,,,,
@simondlr#8472,griff,for hosting the AMA today ,Commons Stack,Feb-18-2021,praise,,,,,,,
@simondlr#8472,griff,for inventing bonding curves ,Commons Stack,Feb-18-2021,praise,,,,,,,
@Paul Haas#7536,griff,for all his work with Molecule and Protea both of which did incredibly useful bonding curve experiments ,Commons Stack,Feb-18-2021,praise,,,,,,,
@sjdthree#8498,griff,for all his work on building locallyowned.io important work! ,Commons Stack,Feb-18-2021,praise,,,,,,,
@simondlr#8472,JessicaZartler,for his new book Hoperunners of Gridlock ,Commons Stack,Feb-18-2021,praise,,,,,,,
@Tyler#4822,JessicaZartler,for all of his amazing cadCAD work!!! ,Commons Stack,Feb-18-2021,praise,,,,,,,
@danlessa#2831,griff,to for all the incredible work he has done to onboard the future generation of Token Engineers!!! ,Commons Stack,Feb-18-2021,praise,,,,,,,
@pacobacpac#5457,griff,to for making one of the best last mile solutions in the crypto game. SO CRITICAL for everything we want to do. ,Commons Stack,Feb-18-2021,praise,,,,,,,
@willjgriff 🐝#6164,griff,for all his work making Gardens a reality ,Commons Stack,Feb-18-2021,praise,,,,,,,
@griff#3281,Kris,for joining me in the back-end ,Commons Stack,Feb-18-2021,system-messages,,,,,,,
@danlessa#2831,JessicaZartler,for joining the Discord and all his work on cadcad education! ,Commons Stack,Feb-18-2021,system-messages,,,,,,,
@JeffEmmett#7202,JeffEmmett,to see how this works on discord ,Commons Stack,Feb-18-2021,praise,,,,,,,
@griff#3281,rdfbbx,for testing praise bot ,Commons Stack,Feb-18-2021,praise-testing,,,,,,,
@rdfbbx#6437,rdfbbx,for testing praise bot ,Commons Stack,Feb-18-2021,praise-testing,,,,,,,
@MisterBoyfriend#7096,griff,for approving EVERY Giveth payment that has ever happened. ,Commons Stack,Feb-18-2021,praise,,,,,,,
@Tyler#4822,JeffEmmett,for his unending cadCAD support and coding wizardry ,Commons Stack,Feb-19-2021,praise,,,,,,,
@James | NEAR#0357,JeffEmmett,"for his work coordinating the NEAR Edu group, growing collaborations in the NEAR ecosystem ",Commons Stack,Feb-19-2021,praise,,,,,,,
@liviade#1387,Kris,for a great graviton session today! ,Commons Stack,Feb-19-2021,praise,,,,,,,
@sjdthree#8498,griff,"also... Seriously, what a great graviton sesh today ",Commons Stack,Feb-19-2021,praise,,,,,,,
@liviade#1387,griff,"also... Seriously, what a great graviton sesh today ",Commons Stack,Feb-19-2021,praise,,,,,,,
@rdfbbx#6437,griff,for making such an incredible bot ,Commons Stack,Feb-19-2021,praise,,,,,,,
@Kademlia#2253,JessicaZartler,for his work on Pictosis and Skills Forest (NFT research group)! ,Commons Stack,Feb-19-2021,praise,,,,,,,
@trentmc0#2875,JessicaZartler,for his founding work in Token Engineering and all his innovation on Data Markets! ,Commons Stack,Feb-19-2021,praise,,,,,,,
@Kate#3629,JessicaZartler,for all of her work in supporting the decentralization of orgs and supporting relational fabrics in the ecosystem! ,Commons Stack,Feb-19-2021,praise,,,,,,,
@MehighCB#4516,JessicaZartler,for all of his work with Carbonbase & Ark! ,Commons Stack,Feb-19-2021,praise,,,,,,,
@moritzfelipe#9923,JessicaZartler,for all of his work with Dacade and P2P learning! ,Commons Stack,Feb-19-2021,praise,,,,,,,
@danibelle#7158,JessicaZartler,for years of incredible work in the ecosystem! ,Commons Stack,Feb-19-2021,praise,,,,,,,
